numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	CLONE
uniformProb 	0.5
numPoints 	3
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	20
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523895531349
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.14761090633000187	0.27431323725182444
1	0.15867326786387595	0.35783101976679577
2	0.1271112726405903	0.28947892986030316
3	0.10972050350775407	0.2318269626400304
4	0.14286911024915266	0.27864635450917435
5	0.10836895107023771	0.22163971390787798
6	0.12948770850741212	0.28325649175006407
7	0.2805143804372066	0.33460469713459434
8	0.28910244875720886	0.38260633408765204
9	0.2817929177096881	0.333468529916971
