numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	NPOINT
uniformProb 	0.5
numPoints 	4
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	20
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	20
seed 	1523837578770
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Fitness
0	0.40119452011100193
1	0.28433813809406366
2	0.3310006794536995
3	0.28873561625759603
4	0.27003417211478387
5	0.2565934728593807
6	0.35888226863397005
7	0.35081230325155316
8	0.3558601688355975
9	0.2920263377871724
10	0.305157100018761
11	0.3027458515253675
12	0.3227219312057886
13	0.202917289569007
14	0.3620136425604345
15	0.2784557948181093
16	0.31495787955928484
17	0.33198818176652883
18	0.3995386198466317
19	0.38403663113796543
