numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	NPOINT
uniformProb 	0.5
numPoints 	5
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	20
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523900938074
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.10451368487822067	0.17931713565519553
1	0.12333306819917987	0.2842158943728258
2	0.08898235825621419	0.12822234339891594
3	0.15638303373233547	0.29761365152928865
4	0.1345992247642457	0.29830644970868314
5	0.28052231299784086	0.3718527690335764
6	0.28910244875720886	0.35871902035336717
7	0.12465883829524425	0.29015477053485966
8	0.26392148905366714	0.3238249528029146
9	0.19085374077537268	0.3057657870917865
