numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	NPOINT
uniformProb 	0.5
numPoints 	4
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	20
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523899301457
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.11392702699011178	0.20285455876821618
1	0.28910244875720886	0.38713050220388356
2	0.28910244875720886	0.35871902035336717
3	0.13293304268363654	0.26510773189861936
4	0.1251128664022423	0.27119018542232604
5	0.35481137875160773	0.45353413675921944
6	0.11658917957765522	0.24593538105212914
7	0.12951853242010314	0.27937065547317547
8	0.26820385316673323	0.3492914611847892
9	0.09172113643660307	0.2709113795949403
