numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	UNIFORM
uniformProb 	0.5
numPoints 	3
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	20
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523896356319
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.1279596728635901	0.2812763110863904
1	0.12845229258821483	0.25875763864595014
2	0.1263330568958275	0.29257553264968605
3	0.3721057116399391	0.40654026644284236
4	0.3721057116399391	0.45137273134305034
5	0.16080815289718514	0.3076472496074413
6	0.23028538769566093	0.293630029238906
7	0.11706739533001695	0.22361213440448724
8	0.2802297977969957	0.3630060167792684
9	0.287554049785148	0.4173326574226951
