numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	UNIFORM
uniformProb 	0.5
numPoints 	5
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	20
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523916808448
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.13245714629008293	0.3005957700903558
1	0.21965981951624444	0.30702571031691184
2	0.13599690972034773	0.2635973154967112
3	0.15907374727142737	0.38967008358404176
4	0.23429591189866344	0.398857765430322
5	0.14083619798155045	0.25857303895816985
6	0.1614368407898416	0.4070167707886315
7	0.10772265827272787	0.27680958541564543
8	0.28051438043720606	0.33702849126231493
9	0.3721057116399391	0.4183430282263522
