numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	UNIFORM
uniformProb 	0.5
numPoints 	3
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	20
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	20
seed 	1523832206046
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Fitness
0	0.35871902035336717
1	0.3412551229849681
2	0.346890827562894
3	0.2936843999398847
4	0.2584254323779289
5	0.26865072998784556
6	0.35871902035336717
7	0.2648030316921041
8	0.2416661058950793
9	0.27939117951191966
10	0.25841200528944136
11	0.40601922279949804
12	0.23278159704314727
13	0.44762670351483724
14	0.3271515869245786
15	0.34639110467133466
16	0.381362760028166
17	0.2453890724322393
18	0.3224008593239749
19	0.5917220614864562
