numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	20
crossoverType 	UNIFORM
uniformProb 	0.5
numPoints 	5
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	30
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523910505433
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.16198566703857326	0.30972389834924585
1	0.15651855000819595	0.2769715325696285
2	0.11645994317491785	0.203440996291239
3	0.12242437682679838	0.22667646149464796
4	0.28176070104567585	0.2917234396106925
5	0.1938665055424872	0.23081603804869044
6	0.14905229864692995	0.3763384872948368
7	0.13608477642050856	0.27209380773643477
8	0.1281081834714578	0.2984469723265623
9	0.3711140609237804	0.4095914529823476
