numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	RANDOM
tSize 	20
crossoverType 	UNIFORM
uniformProb 	0.5
numPoints 	3
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	20
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	20
seed 	1523831179517
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Fitness
0	0.6333683608819465
1	0.4248680105613778
2	0.662434538855306
3	0.6051448095936867
4	0.5731603045104695
5	0.3937764399064547
6	0.507046844886418
7	0.48346122415784915
8	0.6326225014718465
9	0.48548632649908846
10	0.6098707905207186
11	0.587817328705772
12	0.5748073496075906
13	0.5760597271574459
14	0.4603721310359023
15	0.6597959397551328
16	0.3533952222911644
17	0.5397510388156945
18	0.6258817981209315
19	0.6107214170497959
