numHidden 	5
numGenes 	48
minGene 	-3.0
maxGene 	3.0
popSize 	40
selectType 	TOURNAMENT
tSize 	25
crossoverType 	UNIFORM
uniformProb 	0.5
numPoints 	3
replaceType 	TOURNAMENT
numReplacements 	40
rtSize 	20
maxEvaluations 	20000
mutateRate 	0.01
mutateChange 	0.05
numTests 	10
seed 	1523892004199
random 	java.util.Random@677327b6
neuralNetworkClass 	class coursework.ExampleEvolutionaryAlgorithm

Test	Training Fitness	Test Fitness
0	0.21644437106622805	0.30480504356463245
1	0.11794119803646026	0.24973076816279557
2	0.28910244875720886	0.35871902035336717
3	0.11253030192986084	0.22911440429992
4	0.2566773761774455	0.33256024297522496
5	0.11374518157072773	0.2536067967412857
6	0.28910244875720886	0.35871902035336717
7	0.31088011824522477	0.39649423537200557
8	0.1295706825532825	0.2631367860752393
9	0.11279683369971048	0.24498941053401735
